SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2018,NE,325.00,4.00,30.00,238.00,12.00,10.00,1.00,18.00,1.00,2.00,0.00,0.00,1.00,1.00,0.00,16,99.00,67.00,2.00,2,135.00,325.00,,,0.00,139.00,139.00,21,,,21
2,2018,NE,74.00,1.00,14.00,91.00,4.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,24.00,18.00,1.00,0,36.00,74.00,,,0.00,36.00,36.00,21,,,21
3,2018,NE,62.00,0.00,10.00,92.00,2.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,29.00,16.00,0.00,0,21.00,62.00,,,0.00,21.00,21.00,21,,,21
5,2018,NFC,26.00,0.00,1.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1.00,3.00,0.00,0,7.00,26.00,,,0.00,7.00,7.00,106,,,37
3,2018,NO,40.00,0.00,1.00,8.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,10.00,6.00,0.00,0,8.00,40.00,,,0.00,8.00,8.00,69,,,22
2,2018,NO,47.00,2.00,14.00,87.00,4.00,3.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,4,29.00,22.00,1.00,1,54.00,47.00,,,0.00,54.00,54.00,69,,,22
1,2018,NO,353.00,1.00,49.00,321.00,19.00,12.00,0.00,12.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,16,101.00,96.00,1.00,0,108.00,347.00,,,0.00,112.00,112.00,69,,,22
1,2018,NYG,412.00,3.00,30.00,185.00,10.00,5.00,0.00,16.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,16,85.00,86.00,3.00,0,84.00,400.00,,,0.00,84.00,84.00,75,,,23
2,2018,NYG,70.00,1.00,9.00,57.00,3.00,2.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4,20.00,23.00,0.00,1,29.00,70.00,,,0.00,29.00,29.00,75,,,23
2,2018,NYJ,47.00,0.00,9.00,40.00,4.00,2.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,18.00,20.00,0.00,0,38.00,47.00,,,0.00,38.00,38.00,82,,,24
1,2018,NYJ,441.00,5.00,39.00,293.00,13.00,7.00,0.00,13.00,3.00,3.00,0.00,1.00,1.00,0.00,0.00,16,115.00,84.00,3.00,2,103.00,421.00,,,0.00,109.00,109.00,82,,,24
1,2018,OAK,467.00,2.00,13.00,80.00,4.00,3.00,0.00,14.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,16,48.00,59.00,1.00,1,45.00,449.00,,,0.00,45.00,45.00,83,,,25
2,2018,OAK,54.00,0.00,12.00,85.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,26.00,25.00,0.00,0,29.00,54.00,,,0.00,29.00,29.00,83,,,25
1,2018,PHI,348.00,0.00,44.00,311.00,11.00,7.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,133.00,99.00,0.00,0,97.00,342.00,,,0.00,97.00,97.00,26,,,26
2,2018,PHI,82.00,0.00,12.00,68.00,3.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,18.00,21.00,0.00,0,29.00,74.00,,,0.00,29.00,29.00,26,,,26
3,2018,PHI,35.00,0.00,4.00,30.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,12.00,12.00,0.00,0,8.00,35.00,,,0.00,8.00,8.00,26,,,26
2,2018,PIT,95.00,0.00,14.00,94.00,7.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,19.00,21.00,0.00,0,35.00,77.00,,,0.00,35.00,35.00,28,,,28
1,2018,PIT,360.00,3.00,52.00,347.00,13.00,7.00,1.00,8.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,16,117.00,96.00,3.00,0,110.00,354.00,,,0.00,116.00,116.00,28,,,28
2,2018,SEA,94.00,1.00,11.00,85.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,28.00,16.00,1.00,0,19.00,94.00,,,0.00,19.00,19.00,90,,,30
3,2018,SEA,24.00,0.00,1.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4.00,2.00,0.00,0,3.00,24.00,,,0.00,3.00,3.00,90,,,30
1,2018,SEA,347.00,2.00,43.00,261.00,20.00,14.00,1.00,12.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,16,109.00,82.00,2.00,0,121.00,335.00,,,0.00,123.00,123.00,90,,,30
2,2018,SF,83.00,0.00,6.00,41.00,2.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,17.00,20.00,0.00,0,13.00,83.00,,,0.00,13.00,13.00,93,,,31
1,2018,SF,435.00,2.00,37.00,227.00,10.00,5.00,0.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,16,93.00,91.00,1.00,1,58.00,409.00,,,0.00,58.00,58.00,93,,,31
1,2018,TB,464.00,1.00,38.00,232.00,11.00,8.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,95.00,92.00,1.00,0,68.00,438.00,,,0.00,68.00,68.00,95,,,33
2,2018,TB,96.00,1.00,7.00,34.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4,19.00,14.00,0.00,1,20.00,90.00,,,0.00,20.00,20.00,95,,,33
2,2018,TEN,90.00,0.00,6.00,58.00,4.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,16.00,13.00,0.00,0,15.00,90.00,,,0.00,15.00,15.00,34,,,34
1,2018,TEN,303.00,3.00,39.00,248.00,9.00,6.00,0.00,11.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,16,87.00,85.00,2.00,1,119.00,295.00,,,0.00,119.00,119.00,34,,,34
2,2018,WAS,98.00,0.00,7.00,35.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,14.00,17.00,0.00,0,20.00,92.00,,,0.00,20.00,20.00,97,,,35
1,2018,WAS,359.00,1.00,46.00,297.00,18.00,11.00,1.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,94.00,81.00,1.00,0,120.00,341.00,,,0.00,120.00,120.00,97,,,35
