PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
16031,1,2018,KC,26,Damien Williams,RB,OFF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,16.00,71.00,4.4,0.00,0.00,15.84,11.00,74.00,6.7,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.50,RB,,0.00,0,0,26.00,0.00,0.00,0.00,0.00,0.00,31.50,381.00,343.00,16
16057,1,2018,KC,89,Jace Amaro,TE,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TE,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,715.00,16
16294,1,2018,KC,55,Dee Ford,OLB,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,8.60,16.20,6.90,48.30,14.50,2.10,1.00,0.50,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,79.23,LB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
16303,1,2018,KC,49,Daniel Sorensen,FS,DEF,8,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.60,13.30,1.40,0.60,4.20,1.30,1.90,0.60,0.30,0.00,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,45.77,DB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
16305,1,2018,KC,13,De'Anthony Thomas,WR,OFF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,2.00,7.00,3.5,0.00,0.00,8.65,5.00,55.00,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,WR,,0.00,0,0,8.70,0.00,0.00,0.00,0.00,0.00,11.20,438.00,407.00,16
16309,1,2018,KC,43,George Atkinson,RB,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,672.00,655.00,16
16364,1,2018,KC,53,Anthony Hitchens,ILB,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.50,32.20,1.90,0.80,5.60,1.70,2.70,1.00,0.50,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,94.76,LB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
16675,1,2018,KC,40,Keith Reaser,CB,DEF,16,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,6.10,1.20,0.50,3.50,1.00,2.80,0.40,0.20,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,24.90,DB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
16837,1,2018,KC,17,Chris Conley,WR,OFF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.25,1.00,0,0.00,0.00,47.60,28.00,392.00,14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.30,WR,,0.00,0,0,59.30,0.00,0.00,0.00,0.00,0.00,73.30,269.00,249.00,16
16859,1,2018,KC,20,Steven Nelson,CB,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.90,20.40,0.00,0.00,0.00,0.00,8.90,1.10,0.50,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,66.60,DB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
17136,1,2018,KC,98,Xavier Williams,NT,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.10,15.60,4.00,1.70,11.90,3.60,1.50,0.90,0.40,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,58.59,DL,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
17199,1,2018,KC,31,Akeem Hunt,RB,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
17327,1,2018,KC,74,Justin Hamilton,DE,DEF,16,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,4.90,2.10,14.70,4.40,0.80,0.50,0.20,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,32.17,DL,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
17937,1,2018,KC,59,Reggie Ragland,ILB,DEF,16,16,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.80,29.40,0.90,0.40,2.80,0.80,0.50,1.00,0.50,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,83.08,LB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
17998,1,2018,KC,24,Will Redmond,CB,DEF,16,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.80,0.00,0.00,0.00,0.00,0.30,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,DB,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,16
